_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,0,0,1,0,1,1,-5.3033432513824526,0.0,0.0,-2.699217782710335,0.0,-3.3426606236372534,-4.382189921487917,GO:0035239,M1001011,4,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-8.658757767746117,6.685873220141974,8.909979806490274,30198,663,109,16,14.678899082568808,3.389703553897986,1284|1311|1499|2246|2253|3725|3845|4089|6464|6722|8817|11082|23493|28514|51176|54361,COL4A2|COMP|CTNNB1|FGF1|FGF8|JUN|KRAS|SMAD4|SHC1|SRF|FGF18|ESM1|HEY2|DLL1|LEF1|WNT4,-5.725660016637047,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-4.2530894626267175,0.0,0.0,-4.233036091813249,0.0,-3.0046871776245223,-4.366625927426192,GO:0060541,M1001011,4,0,GO Biological Processes,19,respiratory system development,19_GO:0032502 developmental process,-8.54693104955114,13.992215735335002,11.03942523322711,30198,198,109,10,9.174311926605505,2.7648899530730944,1385|1499|2002|2246|2253|3845|5595|6722|8817|51176,CREB1|CTNNB1|ELK1|FGF1|FGF8|KRAS|MAPK3|SRF|FGF18|LEF1,-5.646017981813472,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-4.876176264108487,0.0,0.0,0.0,0.0,-2.82385605248229,-3.8882649438389723,GO:0001568,M1000011,3,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-8.376202143235599,7.680479607593787,9.112080836146543,30198,505,109,14,12.844036697247706,3.2046903570878977,1284|1311|1499|1959|2246|2253|3725|6464|6722|8817|11082|23493|28514|51176,COL4A2|COMP|CTNNB1|EGR2|FGF1|FGF8|JUN|SHC1|SRF|FGF18|ESM1|HEY2|DLL1|LEF1,-5.533281022475617,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-4.1195446291785744,0.0,0.0,0.0,0.0,-3.1158201470937175,-4.259769325768102,GO:0048514,M1000011,3,0,GO Biological Processes,19,blood vessel morphogenesis,19_GO:0032502 developmental process,-8.360973183547225,8.554860641983918,9.395465592593542,30198,421,109,13,11.926605504587156,3.1043275972683815,1284|1311|1499|2246|2253|3725|6464|6722|8817|11082|23493|28514|51176,COL4A2|COMP|CTNNB1|FGF1|FGF8|JUN|SHC1|SRF|FGF18|ESM1|HEY2|DLL1|LEF1,-5.531416024345225,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-6.059261742504809,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654704,M1000000,1,0,Reactome Gene Sets,6,SHC-mediated cascade:FGFR3,,-8.33636236952035,76.9571865443425,19.40156558620251,30198,18,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-5.519770187482717,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-3.3301372909651543,0.0,0.0,0.0,0.0,-3.4403199637157487,-7.410870508804095,WP4172,M1000011,3,0,WikiPathways,27,PI3K-Akt signaling pathway,,-8.323416767343193,9.636378141204625,9.710430357848397,30198,345,109,12,11.009174311926605,2.9980353079826774,208|1284|1311|1385|2246|2253|3381|3815|3845|5595|7148|8817,AKT2|COL4A2|COMP|CREB1|FGF1|FGF8|IBSP|KIT|KRAS|MAPK3|TNXB|FGF18,-5.519413712613581,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,0,1,-3.6872388732338566,0.0,0.0,-2.999903819049685,0.0,0.0,-7.505961750299248,R-HSA-9006934,M1001001,3,0,Reactome Gene Sets,6,Signaling by Receptor Tyrosine Kinases,,-8.204718541588395,7.44461075208227,8.930932893986647,30198,521,109,14,12.844036697247706,3.2046903570878977,208|1284|1385|1499|1959|2002|2246|2253|3815|3845|5595|6464|6722|8817,AKT2|COL4A2|CREB1|CTNNB1|EGR2|ELK1|FGF1|FGF8|KIT|KRAS|MAPK3|SHC1|SRF|FGF18,-5.441697367110461,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-3.2881033712008434,0.0,0.0,0.0,0.0,-3.3980813310629516,-7.334523763912418,hsa04151,M1000011,3,0,KEGG Pathway,24,PI3K-Akt signaling pathway,,-8.19870385916385,9.39138547659773,9.558682986271238,30198,354,109,12,11.009174311926605,2.9980353079826774,208|1284|1311|1385|2246|2253|3381|3815|3845|5595|7148|8817,AKT2|COL4A2|COMP|CREB1|FGF1|FGF8|IBSP|KIT|KRAS|MAPK3|TNXB|FGF18,-5.441697367110461,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.983075882297917,0.0,0.0,0.0,0.0,0.0,-5.069233673100336,R-HSA-5654741,M1000001,2,0,Reactome Gene Sets,6,Signaling by FGFR3,,-8.174960753081878,41.55688073394495,15.448436930410775,30198,40,109,6,5.504587155963303,2.184512281214591,2246|2253|3845|5595|6464|8817,FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-5.428949645329952,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-4.7762697713368905,0.0,0.0,0.0,0.0,-2.7591470921123524,-3.8057672389253585,GO:0001944,M1000011,3,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-8.152354687799715,7.373844490180347,8.875895828520777,30198,526,109,14,12.844036697247706,3.2046903570878977,1284|1311|1499|1959|2246|2253|3725|6464|6722|8817|11082|23493|28514|51176,COL4A2|COMP|CTNNB1|EGR2|FGF1|FGF8|JUN|SHC1|SRF|FGF18|ESM1|HEY2|DLL1|LEF1,-5.417067445439562,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.9503883125902775,0.0,0.0,0.0,0.0,0.0,-5.036524567361075,R-HSA-5654743,M1000001,2,0,Reactome Gene Sets,6,Signaling by FGFR4,,-8.107515319237384,40.54329827701947,15.24972536019024,30198,41,109,6,5.504587155963303,2.184512281214591,2246|2253|3845|5595|6464|8817,FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-5.38363281296946,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.212297843150681,0.0,0.0,0.0,0.0,0.0,-6.109808767224484,hsa05218,M1000001,2,0,KEGG Pathway,24,Melanoma,,-8.098235456469762,26.93501529051988,13.260908914352662,30198,72,109,7,6.422018348623853,2.3480609122499354,208|2246|2253|3845|4616|5595|8817,AKT2|FGF1|FGF8|KRAS|GADD45B|MAPK3|FGF18,-5.38363281296946,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.914672725404664,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654719,M1000000,1,0,Reactome Gene Sets,6,SHC-mediated cascade:FGFR4,,-8.081293039259123,69.26146788990826,18.379625799666343,30198,20,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-5.376674616665422,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-4.86250624170007,0.0,0.0,-3.7251728391777092,0.0,-2.5153135646522595,-5.005761505812737,hsa04010,M1001011,4,0,KEGG Pathway,24,MAPK signaling pathway,,-7.992128444770523,10.365661861074706,9.71267302158777,30198,294,109,11,10.091743119266056,2.8851582131762328,208|2002|2246|2253|3725|3815|3845|4616|5595|6722|8817,AKT2|ELK1|FGF1|FGF8|JUN|KIT|KRAS|GADD45B|MAPK3|SRF|FGF18,-5.306815177372209,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-3.9867971759195595,0.0,0.0,-4.028905041921506,0.0,-2.8071121332215885,-7.008415397848777,hsa04014,M1001011,4,0,KEGG Pathway,24,Ras signaling pathway,,-7.887919159064175,11.94163239481177,10.069386149682693,30198,232,109,10,9.174311926605505,2.7648899530730944,208|2002|2246|2253|3815|3845|5595|5966|6464|8817,AKT2|ELK1|FGF1|FGF8|KIT|KRAS|MAPK3|REL|SHC1|FGF18,-5.238818064320306,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.108462508726408,0.0,0.0,0.0,0.0,0.0,-5.969682062437574,R-HSA-74752,M1000001,2,0,Reactome Gene Sets,6,Signaling by Insulin receptor,,-7.852258627761381,24.863091037402967,12.700996225351592,30198,78,109,7,6.422018348623853,2.3480609122499354,208|2246|2253|3845|5595|6464|8817,AKT2|FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-5.211757704779429,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-4.471661919729472,0.0,0.0,-4.399964596824871,0.0,-3.166982991698539,-4.5857476953659315,GO:0030324,M1001011,4,0,GO Biological Processes,19,lung development,19_GO:0032502 developmental process,-7.829869159353376,14.329958873774121,10.61354411170915,30198,174,109,9,8.256880733944953,2.6362191336361964,1385|1499|2002|2246|2253|3845|5595|6722|8817,CREB1|CTNNB1|ELK1|FGF1|FGF8|KRAS|MAPK3|SRF|FGF18,-5.197801403908287,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.724297477619052,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654699,M1000000,1,0,Reactome Gene Sets,6,SHC-mediated cascade:FGFR2,,-7.748506581334475,60.22736338252892,17.102277522938053,30198,23,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-5.159487938132293,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-4.433126193471359,0.0,0.0,-4.370571611950193,0.0,-3.138362402549374,-4.54712038425083,GO:0030323,M1001011,4,0,GO Biological Processes,19,respiratory tube development,19_GO:0032502 developmental process,-7.744131043649244,14.00793732604886,10.476214072202515,30198,178,109,9,8.256880733944953,2.6362191336361964,1385|1499|2002|2246|2253|3845|5595|6722|8817,CREB1|CTNNB1|ELK1|FGF1|FGF8|KRAS|MAPK3|SRF|FGF18,-5.159487938132293,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-3.438041716252341,0.0,0.0,0.0,0.0,0.0,-3.5487251075156947,GO:0001525,M1000001,2,0,GO Biological Processes,19,angiogenesis,19_GO:0032502 developmental process,-7.572883459074582,9.434998721845089,9.173257752720383,30198,323,109,11,10.091743119266056,2.8851582131762328,1284|1499|2246|2253|3725|6464|6722|8817|11082|28514|51176,COL4A2|CTNNB1|FGF1|FGF8|JUN|SHC1|SRF|FGF18|ESM1|DLL1|LEF1,-5.024106050780653,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.688703348479617,0.0,0.0,0.0,0.0,0.0,-4.774645844701579,R-HSA-5654736,M1000001,2,0,Reactome Gene Sets,6,Signaling by FGFR1,,-7.570667548940319,33.24550458715596,13.734605746598076,30198,50,109,6,5.504587155963303,2.184512281214591,2246|2253|3845|5595|6464|8817,FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-5.024106050780653,0,1,0,0,-22.035100255838625,123.08967391304348,
0,0,1,0,0,0,1,0.0,0.0,-2.399382728599006,0.0,0.0,0.0,-6.366760307407569,GO:0043410,M0010001,2,0,GO Biological Processes,19,positive regulation of MAPK cascade,19_GO:0023052 signaling,-7.561038866605492,7.320317744461849,8.507278426842342,30198,492,109,13,11.926605504587156,3.1043275972683815,148|1499|2246|2253|3489|3725|3815|4616|5595|6354|6464|8817|128239,ADRA1A|CTNNB1|FGF1|FGF8|IGFBP6|JUN|KIT|GADD45B|MAPK3|CCL7|SHC1|FGF18|IQGAP3,-5.024106050780653,0,1,0,0,-22.035100255838625,123.08967391304348,
0,0,1,0,0,0,1,0.0,0.0,-3.0143305827290026,0.0,0.0,0.0,-6.581841530745978,GO:0043408,M0010001,2,0,GO Biological Processes,19,regulation of MAPK cascade,19_GO:0023052 signaling,-7.5544549561265,6.040244292724557,8.04919543457884,30198,688,109,15,13.761467889908257,3.2996646903679476,148|1499|2246|2253|3489|3725|3815|4089|4616|5595|6354|6464|8817|128239|401265,ADRA1A|CTNNB1|FGF1|FGF8|IGFBP6|JUN|KIT|SMAD4|GADD45B|MAPK3|CCL7|SHC1|FGF18|IQGAP3|KLHL31,-5.024106050780653,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.611413810034717,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654708,M1000000,1,0,Reactome Gene Sets,6,Downstream signaling of activated FGFR3,,-7.552633214318673,55.409174311926606,16.380387243483966,30198,25,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-5.024106050780653,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.612199123722804,0.0,0.0,0.0,0.0,0.0,-4.6980770601379795,R-HSA-2428924,M1000001,2,0,Reactome Gene Sets,6,IGF1R signaling cascade,,-7.4146960801742425,31.36368357278864,13.316068448492057,30198,53,109,6,5.504587155963303,2.184512281214591,208|2246|2253|3845|6464|8817,AKT2|FGF1|FGF8|KRAS|SHC1|FGF18,-4.899133893800591,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.507641355538564,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654716,M1000000,1,0,Reactome Gene Sets,6,Downstream signaling of activated FGFR4,,-7.373432089618173,51.30479102956168,15.739381065915303,30198,27,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-4.870459030552541,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.587688140352509,0.0,0.0,0.0,0.0,0.0,-4.673544559759139,R-HSA-2404192,M1000001,2,0,Reactome Gene Sets,6,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),,-7.364813376751376,30.782874617737,13.184216433299289,30198,54,109,6,5.504587155963303,2.184512281214591,208|2246|2253|3845|6464|8817,AKT2|FGF1|FGF8|KRAS|SHC1|FGF18,-4.868000626390563,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.56364138797875,0.0,0.0,0.0,0.0,0.0,-4.649476291816363,M276,M1000001,2,0,Canonical Pathways,11,PID FGF PATHWAY,,-7.315916542999782,30.2231859883236,13.0559037992048,30198,55,109,6,5.504587155963303,2.184512281214591,2246|2253|3725|5595|6464|8817,FGF1|FGF8|JUN|MAPK3|SHC1|FGF18,-4.831168304040349,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.366179510925495,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654696,M1000000,1,0,Reactome Gene Sets,6,Downstream signaling of activated FGFR2,,-7.130374393029767,46.174311926605505,14.8994482218067,30198,30,109,5,4.587155963302752,2.0038348475654213,2246|2253|3845|6464|8817,FGF1|FGF8|KRAS|SHC1|FGF18,-4.669649624651057,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.194385490706914,0.0,0.0,0.0,0.0,0.0,-4.279833366522041,R-HSA-5654738,M1000001,2,0,Reactome Gene Sets,6,Signaling by FGFR2,,-6.5699711143115325,22.770893552846548,11.20896280215159,30198,73,109,6,5.504587155963303,2.184512281214591,2246|2253|3845|5595|6464|8817,FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-4.199623620520492,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-5.2113517402992775,0.0,0.0,-3.938039968797804,0.0,-2.7195219617858966,-2.7195219617858966,WP382,M1001011,4,0,WikiPathways,27,MAPK signaling pathway,,-6.498393676337901,10.01370620095059,8.596134066707053,30198,249,109,9,8.256880733944953,2.6362191336361964,208|2002|2246|2253|3725|3845|5595|6722|8817,AKT2|ELK1|FGF1|FGF8|JUN|KRAS|MAPK3|SRF|FGF18,-4.145957771855563,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.914672725404664,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654706,M1000000,1,0,Reactome Gene Sets,6,FRS-mediated FGFR3 signaling,,-6.128338128349426,55.409174311926606,14.649849978832231,30198,20,109,4,3.669724770642202,1.8008805113767183,2246|2253|3845|8817,FGF1|FGF8|KRAS|FGF18,-3.8630523995859876,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-3.967236374261696,0.0,0.0,0.0,0.0,0.0,-4.052383559868562,R-HSA-190236,M1000001,2,0,Reactome Gene Sets,6,Signaling by FGFR,,-6.1154941020036695,19.106611831698828,10.179477798083944,30198,87,109,6,5.504587155963303,2.184512281214591,2246|2253|3845|5595|6464|8817,FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-3.8537828335985296,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-4.742388479958509,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-112399,M1000000,1,0,Reactome Gene Sets,6,IRS-mediated signalling,,-6.073056547031376,28.858944954128443,11.626069022711736,30198,48,109,5,4.587155963302752,2.0038348475654213,208|2246|2253|3845|8817,AKT2|FGF1|FGF8|KRAS|FGF18,-3.8218954609595444,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.848038763273861,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654688,M1000000,1,0,Reactome Gene Sets,6,SHC-mediated cascade:FGFR1,,-6.03777591918927,52.77064220183487,14.283888109628156,30198,21,109,4,3.669724770642202,1.8008805113767183,2246|2253|3845|6464,FGF1|FGF8|KRAS|SHC1,-3.7969147897572504,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-2.848610212995569,0.0,0.0,0.0,0.0,0.0,-5.717152641853205,hsa04015,M1000001,2,0,KEGG Pathway,24,Rap1 signaling pathway,,-6.001629188554097,10.554128440366974,8.362155571001413,30198,210,109,8,7.339449541284404,2.4978475771938924,208|1499|2246|2253|3815|3845|5595|8817,AKT2|CTNNB1|FGF1|FGF8|KIT|KRAS|MAPK3|FGF18,-3.7725034890720734,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.1380362601375085,0.0,0.0,0.0,0.0,0.0,-4.251252514837288,hsa05207,M1000001,2,0,KEGG Pathway,24,Chemical carcinogenesis - receptor activation,,-5.970718757632485,10.45456119092955,8.314599032642247,30198,212,109,8,7.339449541284404,2.4978475771938924,208|1385|2253|3725|3845|5595|8817|28514,AKT2|CREB1|FGF8|JUN|KRAS|MAPK3|FGF18|DLL1,-3.7497524569174048,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.784682504070171,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5654712,M1000000,1,0,Reactome Gene Sets,6,FRS-mediated FGFR4 signaling,,-5.951833798638187,50.371976647206004,13.942873626373348,30198,22,109,4,3.669724770642202,1.8008805113767183,2246|2253|3845|8817,FGF1|FGF8|KRAS|FGF18,-3.7436417859595355,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,0,-5.784682504070171,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-5655332,M1000000,1,0,Reactome Gene Sets,6,Signaling by FGFR3 in disease,,-5.951833798638187,50.371976647206004,13.942873626373348,30198,22,109,4,3.669724770642202,1.8008805113767183,2246|2253|3845|8817,FGF1|FGF8|KRAS|FGF18,-3.7436417859595355,0,1,0,0,-22.035100255838625,123.08967391304348,
