Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.3,10,7.6,30198,663,32,7,22,7.3,1311|2246|2253|3725|3845|28514|54361,COMP|FGF1|FGF8|JUN|KRAS|DLL1|WNT4,-3.1,CNet-SVM
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-5.3,19,9.4,30198,244,32,5,16,6.4,2253|5307|7480|28514|54361,FGF8|PITX1|WNT10B|DLL1|WNT4,-3,CNet-SVM
WikiPathways,27,WP422,MAPK cascade,,-5.2,86,16,30198,33,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-3,CNet-SVM
WikiPathways,27,WP382,MAPK signaling pathway,,-5.2,19,9.3,30198,249,32,5,16,6.4,2002|2246|2253|3725|3845,ELK1|FGF1|FGF8|JUN|KRAS,-3,CNet-SVM
WikiPathways,27,WP710,DNA damage response (only ATM dependent),,-5.2,33,11,30198,115,32,4,12,5.8,3725|3845|7480|54361,JUN|KRAS|WNT10B|WNT4,-3,CNet-SVM
WikiPathways,27,WP5087,Malignant pleural mesothelioma,,-5.2,13,8.1,30198,447,32,6,19,6.9,2002|2246|2253|3725|7480|54361,ELK1|FGF1|FGF8|JUN|WNT10B|WNT4,-3,CNet-SVM
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-5.1,9.3,7.3,30198,708,32,7,22,7.3,2920|3845|5021|5137|5179|7480|54361,CXCL2|KRAS|OXTR|PDE1C|PENK|WNT10B|WNT4,-2.9,CNet-SVM
GO Biological Processes,19,GO:0030278,regulation of ossification,19_GO:0032501 multicellular organismal process,-5.1,31,11,30198,121,32,4,12,5.8,1311|1959|7480|54361,COMP|EGR2|WNT10B|WNT4,-2.9,CNet-SVM
GO Biological Processes,19,GO:0001889,liver development,19_GO:0032502 developmental process,-5.1,31,11,30198,122,32,4,12,5.8,2002|3725|6927|54361,ELK1|JUN|HNF1A|WNT4,-2.9,CNet-SVM
GO Biological Processes,19,GO:0045746,negative regulation of Notch signaling pathway,19_GO:0023052 signaling,-5.1,75,15,30198,38,32,3,9.4,5.2,8788|28514|65989,DLK1|DLL1|DLK2,-2.9,CNet-SVM
Reactome Gene Sets,6,R-HSA-5655302,Signaling by FGFR1 in disease,,-5.1,75,15,30198,38,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.9,CNet-SVM
GO Biological Processes,19,GO:0035270,endocrine system development,19_GO:0032502 developmental process,-5.1,30,11,30198,124,32,4,12,5.8,2253|5307|28514|54361,FGF8|PITX1|DLL1|WNT4,-2.9,CNet-SVM
GO Biological Processes,19,GO:0061008,hepaticobiliary system development,19_GO:0032502 developmental process,-5,30,11,30198,125,32,4,12,5.8,2002|3725|6927|54361,ELK1|JUN|HNF1A|WNT4,-2.9,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654741,Signaling by FGFR3,,-5,71,14,30198,40,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.9,CNet-SVM
WikiPathways,27,WP127,IL-5 signaling pathway,,-5,71,14,30198,40,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2.9,CNet-SVM
WikiPathways,27,WP236,Adipogenesis,,-5,29,10,30198,131,32,4,12,5.8,1959|6927|7480|8788,EGR2|HNF1A|WNT10B|DLK1,-2.8,CNet-SVM
GO Biological Processes,19,GO:0021983,pituitary gland development,19_GO:0032502 developmental process,-5,69,14,30198,41,32,3,9.4,5.2,2253|5307|54361,FGF8|PITX1|WNT4,-2.8,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654743,Signaling by FGFR4,,-5,69,14,30198,41,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.8,CNet-SVM
GO Biological Processes,19,GO:0048754,branching morphogenesis of an epithelial tube,19_GO:0032502 developmental process,-4.9,28,10,30198,133,32,4,12,5.8,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-2.8,CNet-SVM
GO Biological Processes,19,GO:0001658,branching involved in ureteric bud morphogenesis,19_GO:0032502 developmental process,-4.9,67,14,30198,42,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.8,CNet-SVM
Reactome Gene Sets,6,R-HSA-5655253,Signaling by FGFR2 in disease,,-4.9,66,14,30198,43,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.8,CNet-SVM
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.9,11,7.5,30198,505,32,6,19,6.9,1311|1959|2246|2253|3725|28514,COMP|EGR2|FGF1|FGF8|JUN|DLL1,-2.8,CNet-SVM
GO Biological Processes,19,GO:0007517,muscle organ development,19_GO:0032502 developmental process,-4.9,16,8.5,30198,293,32,5,16,6.4,1959|5307|7480|26508|28514,EGR2|PITX1|WNT10B|HEYL|DLL1,-2.8,CNet-SVM
KEGG Pathway,24,hsa04010,MAPK signaling pathway,,-4.9,16,8.4,30198,294,32,5,16,6.4,2002|2246|2253|3725|3845,ELK1|FGF1|FGF8|JUN|KRAS,-2.8,CNet-SVM
KEGG Pathway,24,hsa04550,Signaling pathways regulating pluripotency of stem cells,,-4.8,26,9.9,30198,143,32,4,12,5.8,3624|3845|7480|54361,INHBA|KRAS|WNT10B|WNT4,-2.7,CNet-SVM
GO Biological Processes,19,GO:0002067,glandular epithelial cell differentiation,19_GO:0032502 developmental process,-4.8,62,13,30198,46,32,3,9.4,5.2,2253|28514|54361,FGF8|DLL1|WNT4,-2.7,CNet-SVM
Canonical Pathways,11,M70,PID PS1 PATHWAY,,-4.8,62,13,30198,46,32,3,9.4,5.2,3725|6927|28514,JUN|HNF1A|DLL1,-2.7,CNet-SVM
GO Biological Processes,19,GO:1901861,regulation of muscle tissue development,19_GO:0032502 developmental process,-4.8,62,13,30198,46,32,3,9.4,5.2,2253|7480|28514,FGF8|WNT10B|DLL1,-2.7,CNet-SVM
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.8,11,7.4,30198,526,32,6,19,6.9,1311|1959|2246|2253|3725|28514,COMP|EGR2|FGF1|FGF8|JUN|DLL1,-2.7,CNet-SVM
GO Biological Processes,19,GO:0060562,epithelial tube morphogenesis,19_GO:0032502 developmental process,-4.8,15,8.2,30198,307,32,5,16,6.4,2246|2253|3845|28514|54361,FGF1|FGF8|KRAS|DLL1|WNT4,-2.7,CNet-SVM
GO Biological Processes,19,GO:0060537,muscle tissue development,19_GO:0032502 developmental process,-4.8,15,8.2,30198,309,32,5,16,6.4,1959|5307|7480|26508|28514,EGR2|PITX1|WNT10B|HEYL|DLL1,-2.7,CNet-SVM
Reactome Gene Sets,6,R-HSA-112399,IRS-mediated signalling,,-4.7,59,13,30198,48,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.7,CNet-SVM
WikiPathways,27,WP2848,Pluripotent stem cell differentiation pathway,,-4.7,59,13,30198,48,32,3,9.4,5.2,2246|2253|3624,FGF1|FGF8|INHBA,-2.7,CNet-SVM
GO Biological Processes,19,GO:0050886,endocrine process,19_GO:0032501 multicellular organismal process,-4.7,58,13,30198,49,32,3,9.4,5.2,3624|3845|5021,INHBA|KRAS|OXTR,-2.7,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654736,Signaling by FGFR1,,-4.7,57,13,30198,50,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.7,CNet-SVM
KEGG Pathway,24,hsa04921,Oxytocin signaling pathway,,-4.7,25,9.5,30198,154,32,4,12,5.8,2002|3725|3845|5021,ELK1|JUN|KRAS|OXTR,-2.7,CNet-SVM
WikiPathways,27,WP4666,Hepatitis B infection,,-4.7,25,9.5,30198,154,32,4,12,5.8,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-2.7,CNet-SVM
Reactome Gene Sets,6,R-HSA-2428928,IRS-related events triggered by IGF1R,,-4.6,54,13,30198,52,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.6,CNet-SVM
GO Biological Processes,19,GO:0060675,ureteric bud morphogenesis,19_GO:0032502 developmental process,-4.6,54,13,30198,52,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.6,CNet-SVM
KEGG Pathway,24,hsa05165,Human papillomavirus infection,,-4.6,14,7.9,30198,331,32,5,16,6.4,1311|3845|7480|26508|54361,COMP|KRAS|WNT10B|HEYL|WNT4,-2.6,CNet-SVM
GO Biological Processes,19,GO:0072171,mesonephric tubule morphogenesis,19_GO:0032502 developmental process,-4.6,53,12,30198,53,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.6,CNet-SVM
Reactome Gene Sets,6,R-HSA-2428924,IGF1R signaling cascade,,-4.6,53,12,30198,53,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.6,CNet-SVM
KEGG Pathway,24,hsa05161,Hepatitis B,,-4.6,23,9.3,30198,162,32,4,12,5.8,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-2.6,CNet-SVM
GO Biological Processes,19,GO:0061138,morphogenesis of a branching epithelium,19_GO:0032502 developmental process,-4.6,23,9.3,30198,162,32,4,12,5.8,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-2.6,CNet-SVM
Reactome Gene Sets,6,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),,-4.6,52,12,30198,54,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.6,CNet-SVM
Reactome Gene Sets,6,R-HSA-74751,Insulin receptor signalling cascade,,-4.6,52,12,30198,54,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.6,CNet-SVM
Canonical Pathways,11,M276,PID FGF PATHWAY,,-4.6,51,12,30198,55,32,3,9.4,5.2,2246|2253|3725,FGF1|FGF8|JUN,-2.6,CNet-SVM
KEGG Pathway,24,hsa05225,Hepatocellular carcinoma,,-4.5,22,9.1,30198,168,32,4,12,5.8,2002|3845|7480|54361,ELK1|KRAS|WNT10B|WNT4,-2.6,CNet-SVM
GO Biological Processes,19,GO:0001763,morphogenesis of a branching structure,19_GO:0032502 developmental process,-4.5,22,9,30198,171,32,4,12,5.8,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-2.5,CNet-SVM
GO Biological Processes,19,GO:0030324,lung development,19_GO:0032502 developmental process,-4.5,22,8.9,30198,174,32,4,12,5.8,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-2.5,CNet-SVM
GO Biological Processes,19,GO:0030323,respiratory tube development,19_GO:0032502 developmental process,-4.4,21,8.8,30198,178,32,4,12,5.8,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-2.5,CNet-SVM
GO Biological Processes,19,GO:0030097,hemopoiesis,19_GO:0002376 immune system process,-4.4,9.3,6.8,30198,606,32,6,19,6.9,3624|3725|7480|28514|54361|168002,INHBA|JUN|WNT10B|DLL1|WNT4|DACT2,-2.5,CNet-SVM
WikiPathways,27,WP4155,Endometrial cancer,,-4.4,45,11,30198,63,32,3,9.4,5.2,2002|2246|3845,ELK1|FGF1|KRAS,-2.5,CNet-SVM
Reactome Gene Sets,6,R-HSA-1226099,Signaling by FGFR in disease,,-4.4,45,11,30198,63,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.5,CNet-SVM
GO Biological Processes,19,GO:0072078,nephron tubule morphogenesis,19_GO:0032502 developmental process,-4.4,45,11,30198,63,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.5,CNet-SVM
GO Biological Processes,19,GO:2000144,"positive regulation of DNA-templated transcription, initiation",19_GO:0048518 positive regulation of biological process,-4.3,44,11,30198,65,32,3,9.4,5.2,3725|6927|7480,JUN|HNF1A|WNT10B,-2.4,CNet-SVM
GO Biological Processes,19,GO:0072088,nephron epithelium morphogenesis,19_GO:0032502 developmental process,-4.3,44,11,30198,65,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.4,CNet-SVM
Canonical Pathways,11,M272,PID CD8 TCR DOWNSTREAM PATHWAY,,-4.3,44,11,30198,65,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2.4,CNet-SVM
GO Biological Processes,19,GO:0072028,nephron morphogenesis,19_GO:0032502 developmental process,-4.3,42,11,30198,67,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.4,CNet-SVM
GO Biological Processes,19,GO:0061333,renal tubule morphogenesis,19_GO:0032502 developmental process,-4.3,42,11,30198,67,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.4,CNet-SVM
GO Biological Processes,19,GO:0060541,respiratory system development,19_GO:0032502 developmental process,-4.3,19,8.3,30198,198,32,4,12,5.8,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-2.4,CNet-SVM
GO Biological Processes,19,GO:0048534,hematopoietic or lymphoid organ development,19_GO:0002376 immune system process,-4.2,8.6,6.4,30198,655,32,6,19,6.9,3624|3725|7480|28514|54361|168002,INHBA|JUN|WNT10B|DLL1|WNT4|DACT2,-2.4,CNet-SVM
KEGG Pathway,24,hsa05218,Melanoma,,-4.2,39,11,30198,72,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.3,CNet-SVM
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.2,18,8.1,30198,205,32,4,12,5.8,2002|3845|7480|54361,ELK1|KRAS|WNT10B|WNT4,-2.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654738,Signaling by FGFR2,,-4.2,39,11,30198,73,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-1980143,Signaling by NOTCH1,,-4.2,38,10,30198,74,32,3,9.4,5.2,8788|26508|28514,DLK1|HEYL|DLL1,-2.3,CNet-SVM
GO Biological Processes,19,GO:0021536,diencephalon development,19_GO:0032502 developmental process,-4.2,38,10,30198,74,32,3,9.4,5.2,2253|5307|54361,FGF8|PITX1|WNT4,-2.3,CNet-SVM
GO Biological Processes,19,GO:0003151,outflow tract morphogenesis,19_GO:0032502 developmental process,-4.1,37,10,30198,76,32,3,9.4,5.2,2253|3725|26508,FGF8|JUN|HEYL,-2.3,CNet-SVM
GO Biological Processes,19,GO:2000142,"regulation of DNA-templated transcription, initiation",19_GO:0008152 metabolic process,-4.1,37,10,30198,76,32,3,9.4,5.2,3725|6927|7480,JUN|HNF1A|WNT10B,-2.3,CNet-SVM
KEGG Pathway,24,hsa05207,Chemical carcinogenesis - receptor activation,,-4.1,18,8,30198,212,32,4,12,5.8,2253|3725|3845|28514,FGF8|JUN|KRAS|DLL1,-2.3,CNet-SVM
GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-4.1,18,8,30198,213,32,4,12,5.8,1959|3845|5179|28514,EGR2|KRAS|PENK|DLL1,-2.3,CNet-SVM
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-4.1,11,6.9,30198,421,32,5,16,6.4,1311|2246|2253|3725|28514,COMP|FGF1|FGF8|JUN|DLL1,-2.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-74752,Signaling by Insulin receptor,,-4.1,36,10,30198,78,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.3,CNet-SVM
GO Biological Processes,19,GO:0001837,epithelial to mesenchymal transition,19_GO:0032502 developmental process,-4.1,36,10,30198,78,32,3,9.4,5.2,2253|26508|54361,FGF8|HEYL|WNT4,-2.3,CNet-SVM
GO Biological Processes,19,GO:0002520,immune system development,19_GO:0002376 immune system process,-4.1,8.1,6.2,30198,699,32,6,19,6.9,3624|3725|7480|28514|54361|168002,INHBA|JUN|WNT10B|DLL1|WNT4|DACT2,-2.3,CNet-SVM
GO Biological Processes,19,GO:0002065,columnar/cuboidal epithelial cell differentiation,19_GO:0032502 developmental process,-4.1,35,10,30198,80,32,3,9.4,5.2,2253|28514|54361,FGF8|DLL1|WNT4,-2.2,CNet-SVM
Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-4.1,11,6.8,30198,433,32,5,16,6.4,2246|2253|3845|26508|28514,FGF1|FGF8|KRAS|HEYL|DLL1,-2.2,CNet-SVM
KEGG Pathway,24,hsa05166,Human T-cell leukemia virus 1 infection,,-4.1,17,7.8,30198,222,32,4,12,5.8,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-2.2,CNet-SVM
