_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,0,0,0,1,-3.2,0,0,0,0,0,-3.3,hsa04150,mTOR signaling pathway,M1000001,2,0
0,0,1,0,0,0,1,0,0,-2.4,0,0,0,-6.4,GO:0043410,positive regulation of MAPK cascade,M0010001,2,0
1,0,0,0,0,0,1,-2.9,0,0,0,0,0,-2,GO:0007389,pattern specification process,M1000001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.9,GO:0008406,gonad development,M1000001,2,0
0,0,1,0,0,1,0,0,0,-2.8,0,0,-2.3,0,hsa04080,Neuroactive ligand-receptor interaction,M0010010,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-3.5,GO:0001525,angiogenesis,M1000001,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-3.5,R-HSA-5683057,MAPK family signaling cascades,M1000001,2,0
1,0,0,0,0,0,1,-2.6,0,0,0,0,0,-3.9,WP5124,Alzheimer's disease,M1000001,2,0
1,0,0,0,0,1,0,-3.8,0,0,0,0,-3.9,0,GO:0007611,learning or memory,M1000010,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.8,GO:0045137,development of primary sexual characteristics,M1000001,2,0
1,0,0,0,0,0,1,-4.2,0,0,0,0,0,-4.3,R-HSA-5654738,Signaling by FGFR2,M1000001,2,0
1,0,0,0,1,0,0,-5.9,0,0,0,-2.4,0,0,GO:0001655,urogenital system development,M1000100,2,0
1,0,0,0,0,0,1,-2.1,0,0,0,0,0,-4.1,GO:0009725,response to hormone,M1000001,2,0
1,0,0,0,0,0,1,-4.8,0,0,0,0,0,-4.9,hsa04550,Signaling pathways regulating pluripotency of stem cells,M1000001,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-8.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-3.1,0,0,0,0,0,-3.2,GO:0010001,glial cell differentiation,M1000001,2,0
1,0,0,0,0,0,1,-5.1,0,0,0,0,0,-3.6,GO:0035270,endocrine system development,M1000001,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-4.7,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),M1000001,2,0
1,0,0,0,0,0,1,-2.4,0,0,0,0,0,-2.5,GO:1903131,mononuclear cell differentiation,M1000001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-5.7,hsa04015,Rap1 signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-4.1,0,0,0,0,0,-4.3,hsa05207,Chemical carcinogenesis - receptor activation,M1000001,2,0
0,0,0,0,1,0,1,0,0,0,0,-4.1,0,-2.7,GO:0033044,regulation of chromosome organization,M0000101,2,0
1,0,0,0,0,1,0,-2.3,0,0,0,0,-2.4,0,R-HSA-418594,G alpha (i) signalling events,M1000010,2,0
1,0,0,0,0,0,0,-7.8,0,0,0,0,0,0,GO:0072080,nephron tubule development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0032868,response to insulin,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.8,0,0,GO:0007052,mitotic spindle organization,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.2,WP4685,Melanoma,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.3,GO:0045834,positive regulation of lipid metabolic process,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.5,WP1544,MicroRNAs in cardiomyocyte hypertrophy,M0000001,1,0
1,0,0,0,0,0,0,-4.9,0,0,0,0,0,0,GO:0007517,muscle organ development,M1000000,1,0
1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,GO:0061138,morphogenesis of a branching epithelium,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.9,WP23,B cell receptor signaling pathway,M0000001,1,0
1,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,GO:0021536,diencephalon development,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.2,0,0,GO:0007017,microtubule-based process,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,hsa05202,Transcriptional misregulation in cancer,M0000001,1,0
1,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,GO:0001889,liver development,M1000000,1,0
1,0,0,0,0,0,0,-4,0,0,0,0,0,0,GO:0001823,mesonephros development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.7,R-HSA-9006936,Signaling by TGFB family members,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.1,0,0,R-HSA-453274,Mitotic G2-G2/M phases,M0000100,1,0
0,0,0,0,1,0,0,0,0,0,0,-4,0,0,GO:0051225,spindle assembly,M0000100,1,0
1,0,0,0,0,0,0,-5,0,0,0,0,0,0,GO:0061008,hepaticobiliary system development,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.3,0,0,GO:0051985,negative regulation of chromosome segregation,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.5,WP304,Kit receptor signaling pathway,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-4.6,0,GO:0030199,collagen fibril organization,M0000010,1,0
1,0,0,0,0,0,0,-6.6,0,0,0,0,0,0,GO:0072073,kidney epithelium development,M1000000,1,0
1,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0150063,visual system development,M1000000,1,0
1,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,GO:0044089,positive regulation of cellular component biogenesis,M1000000,1,0
1,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0050678,regulation of epithelial cell proliferation,M1000000,1,0
1,0,0,0,0,0,0,-4,0,0,0,0,0,0,R-HSA-157118,Signaling by NOTCH,M1000000,1,0
1,0,0,0,0,0,0,-5.3,0,0,0,0,0,0,R-HSA-5654687,Downstream signaling of activated FGFR1,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,hsa04062,Chemokine signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4,hsa05222,Small cell lung cancer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,GO:0060284,regulation of cell development,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-12,WP4216,Chromosomal and microsatellite instability in colorectal cancer,M0000001,1,0
1,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,R-HSA-1980143,Signaling by NOTCH1,M1000000,1,0
1,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,GO:0030097,hemopoiesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0032870,cellular response to hormone stimulus,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.3,0,0,GO:2001251,negative regulation of chromosome organization,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.8,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0071902,positive regulation of protein serine/threonine kinase activity,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.5,GO:1902105,regulation of leukocyte differentiation,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.1,0,0,R-HSA-69275,G2/M Transition,M0000100,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.4,0,0,GO:1901990,regulation of mitotic cell cycle phase transition,M0000100,1,0
