_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_Lasso-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,0,0,0,0,0,1,-2.6,0,0,0,0,0,0,-3.9,M10143,M10000001,2,0,Transcription Factor Targets,16,CREL 01,,-3.9,16,7.4,30198,257,30,4,13,6.2,208|1385|4616|5966,AKT2|CREB1|GADD45B|REL,-1.7,0
1,0,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,0,M14186,M10000000,1,0,Transcription Factor Targets,16,GATA1 03,,-3.9,15,7.4,30198,246,32,4,12,5.8,1264|1959|3725|10664,CNN1|EGR2|JUN|CTCF,-1.7,0
1,0,0,0,0,0,0,0,-3.8,0,0,0,0,0,0,0,M15183,M10000000,1,0,Transcription Factor Targets,16,E12 Q6,,-3.8,14,7.1,30198,265,32,4,12,5.8,2253|3845|26508|28514,FGF8|KRAS|HEYL|DLL1,-1.6,0
1,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,0,M18920,M10000000,1,0,Transcription Factor Targets,16,GATA C,,-3.7,14,7,30198,268,32,4,12,5.8,1264|3725|6927|9951,CNN1|JUN|HNF1A|HS3ST4,-1.6,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.7,M30190,M00000001,1,0,Transcription Factor Targets,16,TAF9B TARGET GENES,,-3.7,8.9,6,30198,565,30,5,17,6.8,571|1499|4320|26009|286826,BACH1|CTNNB1|MMP11|ZZZ3|LIN9,-1.5,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.6,M30054,M00000001,1,0,Transcription Factor Targets,16,MAML1 TARGET GENES,,-3.6,13,6.7,30198,312,30,4,13,6.2,571|3773|4616|5966,BACH1|KCNJ16|GADD45B|REL,-1.5,0
1,0,0,0,0,1,1,0,-3.2,0,0,0,0,-2.5,-3.3,0,M13849,M10000110,3,0,Transcription Factor Targets,16,TGACATY UNKNOWN,,-3.3,7.4,5.3,30198,676,30,5,17,6.8,2253|3845|5137|11082|27190,FGF8|KRAS|PDE1C|ESM1|IL17B,-1.3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,M29986,M00000001,1,0,Transcription Factor Targets,16,GUCY1B1 TARGET GENES,,-3.3,7.3,5.3,30198,686,30,5,17,6.8,571|4040|4616|8659|26009,BACH1|LRP6|GADD45B|ALDH4A1|ZZZ3,-1.3,0
0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,M3150,M00100000,1,0,Transcription Factor Targets,16,TATA 01,,-3.2,18,6.9,30198,256,20,3,15,8,1300|4319|6354,COL10A1|MMP10|CCL7,-1.2,0
1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,M16291,M10000000,1,0,Transcription Factor Targets,16,YNGTTNNNATT UNKNOWN,,-3.2,10,5.7,30198,376,32,4,12,5.8,5137|6927|9951|25769,PDE1C|HNF1A|HS3ST4|SLC24A2,-1.2,0
1,0,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,M9413,M10000000,1,0,Transcription Factor Targets,16,MSX1 01,,-3.1,16,6.6,30198,175,32,3,9.4,5.2,3624|28514|147381,INHBA|DLL1|CBLN2,-1.1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,M29923,M00000100,1,0,Transcription Factor Targets,16,CHAMP1 TARGET GENES,,-3,16,6.4,30198,208,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.1,0
1,0,0,1,0,0,0,0,-3,0,0,-3,0,0,0,0,M572,M10010000,2,0,Transcription Factor Targets,16,TGCCAAR NF1 Q6,,-3,6.5,4.9,30198,727,32,5,16,6.4,1264|1959|5307|6927|9951,CNN1|EGR2|PITX1|HNF1A|HS3ST4,-1.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,M9769,M00000010,1,0,Transcription Factor Targets,16,CTGCAGY UNKNOWN,,-3,6.5,4.9,30198,779,30,5,17,6.8,2253|7148|116135|131578|168002,FGF8|TNXB|LRRC3B|LRRC15|DACT2,-1.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,M8004,M00000010,1,0,Transcription Factor Targets,16,TGASTMAGC NFE2 01,,-3,15,6.4,30198,195,30,3,10,5.5,7148|9127|10894,TNXB|P2RX6|LYVE1,-1.1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,M40848,M00000001,1,0,Transcription Factor Targets,16,ZNF236 TARGET GENES,,-2.9,14,6.1,30198,212,30,3,10,5.5,1385|1499|4040,CREB1|CTNNB1|LRP6,-1,0
1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,0,M13279,M10000000,1,0,Transcription Factor Targets,16,HFH8 01,,-2.9,14,5.9,30198,208,32,3,9.4,5.2,1959|2920|3624,EGR2|CXCL2|INHBA,-1,0
1,0,0,0,0,0,1,0,-2.7,0,0,0,0,0,-2.8,0,M11587,M10000010,2,0,Transcription Factor Targets,16,CHX10 01,,-2.8,13,5.9,30198,228,30,3,10,5.5,2295|5307|25769,FOXF2|PITX1|SLC24A2,-0.99,0
1,0,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,0,M12443,M10000000,1,0,Transcription Factor Targets,16,SRF C,,-2.8,13,5.8,30198,215,32,3,9.4,5.2,1264|1959|28514,CNN1|EGR2|DLL1,-0.98,0
1,0,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,0,M6136,M10000000,1,0,Transcription Factor Targets,16,HNF3B 01,,-2.8,13,5.7,30198,223,32,3,9.4,5.2,1959|3624|54361,EGR2|INHBA|WNT4,-0.95,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,0,M8172,M00000010,1,0,Transcription Factor Targets,16,HNF6 Q6,,-2.8,13,5.7,30198,239,30,3,10,5.5,2253|5307|11082,FGF8|PITX1|ESM1,-0.94,0
1,0,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,0,M11345,M10000000,1,0,Transcription Factor Targets,16,AP4 Q6,,-2.8,13,5.7,30198,225,32,3,9.4,5.2,2253|9951|54361,FGF8|HS3ST4|WNT4,-0.94,0
1,0,0,0,0,0,0,1,-2.7,0,0,0,0,0,0,-2.8,M2315,M10000001,2,0,Transcription Factor Targets,16,NFKAPPAB65 01,,-2.8,13,5.7,30198,241,30,3,10,5.5,1385|4616|5966,CREB1|GADD45B|REL,-0.94,0
0,0,0,0,0,1,0,1,0,0,0,0,0,-2.7,0,-2.7,M9868,M00000101,2,0,Transcription Factor Targets,16,NFY Q6,,-2.7,12,5.6,30198,263,28,3,11,5.8,699|1063|4751,BUB1|CENPF|NEK2,-0.92,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,M12580,M00000010,1,0,Transcription Factor Targets,16,GATA3 01,,-2.7,12,5.6,30198,245,30,3,10,5.5,5179|7148|27190,PENK|TNXB|IL17B,-0.92,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,M13199,M00000010,1,0,Transcription Factor Targets,16,GATA1 01,,-2.7,12,5.6,30198,247,30,3,10,5.5,5179|7148|27190,PENK|TNXB|IL17B,-0.92,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,M19147,M00000010,1,0,Transcription Factor Targets,16,HMGIY Q6,,-2.7,12,5.5,30198,253,30,3,10,5.5,2253|10894|11082,FGF8|LYVE1|ESM1,-0.9,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,M13012,M00000010,1,0,Transcription Factor Targets,16,TGCTGAY UNKNOWN,,-2.7,7.4,4.7,30198,547,30,4,13,6.2,5137|7148|9127|10894,PDE1C|TNXB|P2RX6|LYVE1,-0.9,0
1,0,0,0,0,0,1,0,-2.6,0,0,0,0,0,-2.7,0,M17968,M10000010,2,0,Transcription Factor Targets,16,ER Q6 02,,-2.7,12,5.4,30198,259,30,3,10,5.5,2295|5307|168002,FOXF2|PITX1|DACT2,-0.88,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,M6969,M00000010,1,0,Transcription Factor Targets,16,BACH1 01,,-2.7,11,5.4,30198,263,30,3,10,5.5,7148|9127|131578,TNXB|P2RX6|LRRC15,-0.87,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,M12460,M00000010,1,0,Transcription Factor Targets,16,AP1 Q4 01,,-2.6,11,5.4,30198,264,30,3,10,5.5,7148|9127|10894,TNXB|P2RX6|LYVE1,-0.87,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,M6101,M00000100,1,0,Transcription Factor Targets,16,ER Q6,,-2.6,11,5.4,30198,284,28,3,11,5.8,762|1300|168002,CA4|COL10A1|DACT2,-0.86,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M6994,M10000000,1,0,Transcription Factor Targets,16,TBP 01,,-2.6,11,5.4,30198,248,32,3,9.4,5.2,1959|6927|10664,EGR2|HNF1A|CTCF,-0.86,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M9364,M10000000,1,0,Transcription Factor Targets,16,SRF Q6,,-2.6,11,5.4,30198,248,32,3,9.4,5.2,1264|1959|2253,CNN1|EGR2|FGF8,-0.86,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M15185,M10000000,1,0,Transcription Factor Targets,16,GATA1 02,,-2.6,11,5.4,30198,249,32,3,9.4,5.2,1959|3725|10664,EGR2|JUN|CTCF,-0.86,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,M10493,M00000010,1,0,Transcription Factor Targets,16,PAX4 01,,-2.6,11,5.3,30198,268,30,3,10,5.5,4320|7148|27190,MMP11|TNXB|IL17B,-0.86,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,M11390,M00000001,1,0,Transcription Factor Targets,16,RACCACAR AML Q6,,-2.6,11,5.3,30198,268,30,3,10,5.5,208|905|5966,AKT2|CCNT2|REL,-0.86,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,M34464,M00000001,1,0,Transcription Factor Targets,16,PGM3 TARGET GENES,,-2.6,11,5.3,30198,269,30,3,10,5.5,4616|6464|6599,GADD45B|SHC1|SMARCC1,-0.85,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,M5440,M00000001,1,0,Transcription Factor Targets,16,AP1 Q4,,-2.6,11,5.3,30198,271,30,3,10,5.5,571|3489|5595,BACH1|IGFBP6|MAPK3,-0.84,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,M13237,M00000010,1,0,Transcription Factor Targets,16,BACH2 01,,-2.6,11,5.3,30198,273,30,3,10,5.5,7148|9127|131578,TNXB|P2RX6|LRRC15,-0.84,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M11442,M10000000,1,0,Transcription Factor Targets,16,HNF1 Q6,,-2.6,11,5.3,30198,256,32,3,9.4,5.2,6927|10664|341277,HNF1A|CTCF|OVCH2,-0.84,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,M8720,M00000001,1,0,Transcription Factor Targets,16,STAT5A 03,,-2.6,11,5.3,30198,274,30,3,10,5.5,1523|3773|6464,CUX1|KCNJ16|SHC1,-0.84,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,M1608,M00000010,1,0,Transcription Factor Targets,16,NFE2 01,,-2.6,11,5.2,30198,275,30,3,10,5.5,7148|9127|10894,TNXB|P2RX6|LYVE1,-0.84,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M6490,M10000000,1,0,Transcription Factor Targets,16,IPF1 Q4,,-2.6,11,5.2,30198,258,32,3,9.4,5.2,1959|6927|28514,EGR2|HNF1A|DLL1,-0.84,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M9329,M10000000,1,0,Transcription Factor Targets,16,SRY 02,,-2.6,11,5.2,30198,259,32,3,9.4,5.2,3624|6927|28514,INHBA|HNF1A|DLL1,-0.83,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M19088,M10000000,1,0,Transcription Factor Targets,16,TST1 01,,-2.6,11,5.2,30198,265,32,3,9.4,5.2,1959|9951|54361,EGR2|HS3ST4|WNT4,-0.82,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,M3489,M10000000,1,0,Transcription Factor Targets,16,AMEF2 Q6,,-2.6,11,5.2,30198,265,32,3,9.4,5.2,3725|5179|25769,JUN|PENK|SLC24A2,-0.82,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,M9026,M10000000,1,0,Transcription Factor Targets,16,AP4 Q5,,-2.5,10,5.1,30198,272,32,3,9.4,5.2,7480|9951|54361,WNT10B|HS3ST4|WNT4,-0.79,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,M30308,M00000001,1,0,Transcription Factor Targets,16,ZNF362 TARGET GENES,,-2.5,6.4,4.3,30198,628,30,4,13,6.2,208|1385|10773|26009,AKT2|CREB1|ZBTB6|ZZZ3,-0.76,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,M2958,M10000000,1,0,Transcription Factor Targets,16,GATA1 05,,-2.5,10,4.9,30198,284,32,3,9.4,5.2,1959|3725|10664,EGR2|JUN|CTCF,-0.75,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,M7093,M10000000,1,0,Transcription Factor Targets,16,GATAAGR GATA C,,-2.4,9.5,4.8,30198,299,32,3,9.4,5.2,1959|3725|6927,EGR2|JUN|HNF1A,-0.71,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,M30025,M10000000,1,0,Transcription Factor Targets,16,IGLV5 37 TARGET GENES,,-2.4,5.9,4.1,30198,636,32,4,12,5.8,1876|2246|3624|7480,E2F6|FGF1|INHBA|WNT10B,-0.67,0
0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,M4815,M00100000,1,0,Transcription Factor Targets,16,WTTGKCTG UNKNOWN,,-2.3,8.7,4.6,30198,519,20,3,15,8,3381|6999|60495,IBSP|TDO2|HPSE2,-0.65,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,M29968,M00000001,1,0,Transcription Factor Targets,16,FOXE1 TARGET GENES,,-2.3,5.5,3.9,30198,728,30,4,13,6.2,3043|4616|8659|286826,HBB|GADD45B|ALDH4A1|LIN9,-0.58,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,M18169,M00000001,1,0,Transcription Factor Targets,16,YATGNWAAT OCT C,,-2.2,8.2,4.4,30198,367,30,3,10,5.5,208|1523|5966,AKT2|CUX1|REL,-0.58,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,M29950,M00000001,1,0,Transcription Factor Targets,16,DYRK1A TARGET GENES,,-2.2,5.2,3.7,30198,774,30,4,13,6.2,2972|6599|9774|26009,BRF1|SMARCC1|BCLAF1|ZZZ3,-0.51,0
1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,M435,M10000000,1,0,Transcription Factor Targets,16,YATTNATC UNKNOWN,,-2.1,7.4,4.1,30198,382,32,3,9.4,5.2,6927|10009|54361,HNF1A|ZBTB33|WNT4,-0.48,0
1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,M399,M10000000,1,0,Transcription Factor Targets,16,SMTTTTGT UNKNOWN,,-2,7,3.9,30198,407,32,3,9.4,5.2,2253|9951|10664,FGF8|HS3ST4|CTCF,-0.42,0
