Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654700,FRS-mediated FGFR2 signaling,,-6.7,2.6e+02,28,30198,25,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.3
CNet-SVM,WikiPathways,27,WP710,DNA damage response (only ATM dependent),,-6.7,75,17,30198,115,14,4,29,12,3725|3845|7480|54361,JUN|KRAS|WNT10B|WNT4,-5.2
CNet-SVM,WikiPathways,27,WP4787,Osteoblast differentiation and related diseases,,-6.6,72,17,30198,120,14,4,29,12,2246|2253|7480|54361,FGF1|FGF8|WNT10B|WNT4,-5.2
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654716,Downstream signaling of activated FGFR4,,-6.6,2.4e+02,27,30198,27,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.2
CNet-SVM,GO Biological Processes,19,GO:0110110,positive regulation of animal organ morphogenesis,19_GO:0032502 developmental process,-6.5,2.2e+02,25,30198,30,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-5.1
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654696,Downstream signaling of activated FGFR2,,-6.5,2.2e+02,25,30198,30,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.1
CNet-SVM,Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-6.5,31,12,30198,343,14,5,36,13,2246|2253|2920|7480|54361,FGF1|FGF8|CXCL2|WNT10B|WNT4,-5
CNet-SVM,GO Biological Processes,19,GO:0048754,branching morphogenesis of an epithelial tube,19_GO:0032502 developmental process,-6.5,65,16,30198,133,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-5
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654687,Downstream signaling of activated FGFR1,,-6.5,2.1e+02,25,30198,31,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5
CNet-SVM,WikiPathways,27,WP422,MAPK cascade,,-6.4,2e+02,24,30198,33,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-4.9
CNet-SVM,Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-6.2,17,9.7,30198,751,14,6,43,13,1472|2246|2253|2920|7480|54361,CST4|FGF1|FGF8|CXCL2|WNT10B|WNT4,-4.8
CNet-SVM,WikiPathways,27,WP4666,Hepatitis B infection,,-6.2,56,15,30198,154,14,4,29,12,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-4.8
CNet-SVM,Reactome Gene Sets,6,R-HSA-5655302,Signaling by FGFR1 in disease,,-6.2,1.7e+02,22,30198,38,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.8
CNet-SVM,GO Biological Processes,19,GO:0061138,morphogenesis of a branching epithelium,19_GO:0032502 developmental process,-6.1,53,14,30198,162,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-4.7
CNet-SVM,KEGG Pathway,24,hsa05161,Hepatitis B,,-6.1,53,14,30198,162,14,4,29,12,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-4.7
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654741,Signaling by FGFR3,,-6.1,1.6e+02,22,30198,40,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.7
CNet-SVM,WikiPathways,27,WP127,IL-5 signaling pathway,,-6.1,1.6e+02,22,30198,40,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-4.7
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654743,Signaling by FGFR4,,-6.1,1.6e+02,22,30198,41,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.7
CNet-SVM,KEGG Pathway,24,hsa05225,Hepatocellular carcinoma,,-6.1,51,14,30198,168,14,4,29,12,2002|3845|7480|54361,ELK1|KRAS|WNT10B|WNT4,-4.7
CNet-SVM,GO Biological Processes,19,GO:0001658,branching involved in ureteric bud morphogenesis,19_GO:0032502 developmental process,-6,1.5e+02,21,30198,42,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.7
CNet-SVM,GO Biological Processes,19,GO:0001763,morphogenesis of a branching structure,19_GO:0032502 developmental process,-6,50,14,30198,171,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-4.7
CNet-SVM,Reactome Gene Sets,6,R-HSA-5655253,Signaling by FGFR2 in disease,,-6,1.5e+02,21,30198,43,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.7
CNet-SVM,GO Biological Processes,19,GO:0030324,lung development,19_GO:0032502 developmental process,-6,50,14,30198,174,14,4,29,12,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-4.6
CNet-SVM,GO Biological Processes,19,GO:0030323,respiratory tube development,19_GO:0032502 developmental process,-6,48,14,30198,178,14,4,29,12,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-4.6
CNet-SVM,Reactome Gene Sets,6,R-HSA-112399,IRS-mediated signalling,,-5.9,1.3e+02,20,30198,48,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654736,Signaling by FGFR1,,-5.8,1.3e+02,20,30198,50,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.5
CNet-SVM,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-5.8,23,10,30198,468,14,5,36,13,2246|2253|3725|5179|54361,FGF1|FGF8|JUN|PENK|WNT4,-4.5
CNet-SVM,GO Biological Processes,19,GO:0060541,respiratory system development,19_GO:0032502 developmental process,-5.8,44,13,30198,198,14,4,29,12,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-4.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-2428928,IRS-related events triggered by IGF1R,,-5.8,1.2e+02,19,30198,52,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.5
CNet-SVM,GO Biological Processes,19,GO:0060675,ureteric bud morphogenesis,19_GO:0032502 developmental process,-5.8,1.2e+02,19,30198,52,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-2428924,IGF1R signaling cascade,,-5.7,1.2e+02,19,30198,53,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.4
CNet-SVM,GO Biological Processes,19,GO:0072171,mesonephric tubule morphogenesis,19_GO:0032502 developmental process,-5.7,1.2e+02,19,30198,53,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-74751,Insulin receptor signalling cascade,,-5.7,1.2e+02,19,30198,54,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),,-5.7,1.2e+02,19,30198,54,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.4
CNet-SVM,KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-5.7,42,13,30198,205,14,4,29,12,2002|3845|7480|54361,ELK1|KRAS|WNT10B|WNT4,-4.4
CNet-SVM,Canonical Pathways,11,M276,PID FGF PATHWAY,,-5.7,1.2e+02,19,30198,55,14,3,21,11,2246|2253|3725,FGF1|FGF8|JUN,-4.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-5.6,21,9.8,30198,521,14,5,36,13,1959|2002|2246|2253|3845,EGR2|ELK1|FGF1|FGF8|KRAS,-4.3
CNet-SVM,KEGG Pathway,24,hsa05166,Human T-cell leukemia virus 1 infection,,-5.6,39,12,30198,222,14,4,29,12,1959|2002|3725|3845,EGR2|ELK1|JUN|KRAS,-4.3
CNet-SVM,GO Biological Processes,19,GO:0072078,nephron tubule morphogenesis,19_GO:0032502 developmental process,-5.5,1e+02,17,30198,63,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.2
CNet-SVM,Reactome Gene Sets,6,R-HSA-1226099,Signaling by FGFR in disease,,-5.5,1e+02,17,30198,63,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.2
CNet-SVM,WikiPathways,27,WP4155,Endometrial cancer,,-5.5,1e+02,17,30198,63,14,3,21,11,2002|2246|3845,ELK1|FGF1|KRAS,-4.2
CNet-SVM,KEGG Pathway,24,hsa04014,Ras signaling pathway,,-5.5,37,12,30198,232,14,4,29,12,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-4.2
CNet-SVM,Canonical Pathways,11,M272,PID CD8 TCR DOWNSTREAM PATHWAY,,-5.5,1e+02,17,30198,65,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-4.2
CNet-SVM,GO Biological Processes,19,GO:0072088,nephron epithelium morphogenesis,19_GO:0032502 developmental process,-5.5,1e+02,17,30198,65,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.2
CNet-SVM,GO Biological Processes,19,GO:0072028,nephron morphogenesis,19_GO:0032502 developmental process,-5.4,97,17,30198,67,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.2
CNet-SVM,GO Biological Processes,19,GO:0061333,renal tubule morphogenesis,19_GO:0032502 developmental process,-5.4,97,17,30198,67,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4.2
CNet-SVM,KEGG Pathway,24,hsa05218,Melanoma,,-5.3,90,16,30198,72,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.1
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654738,Signaling by FGFR2,,-5.3,89,16,30198,73,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4.1
CNet-SVM,GO Biological Processes,19,GO:0072080,nephron tubule development,19_GO:0032502 developmental process,-5.3,85,16,30198,76,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4
CNet-SVM,Reactome Gene Sets,6,R-HSA-74752,Signaling by Insulin receptor,,-5.2,83,16,30198,78,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-4
CNet-SVM,GO Biological Processes,19,GO:0061326,renal tubule development,19_GO:0032502 developmental process,-5.2,81,15,30198,80,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4
CNet-SVM,GO Biological Processes,19,GO:0001657,ureteric bud development,19_GO:0032502 developmental process,-5.2,79,15,30198,82,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-4
CNet-SVM,GO Biological Processes,19,GO:0072163,mesonephric epithelium development,19_GO:0032502 developmental process,-5.1,78,15,30198,83,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.9
CNet-SVM,GO Biological Processes,19,GO:0072164,mesonephric tubule development,19_GO:0032502 developmental process,-5.1,78,15,30198,83,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.9
CNet-SVM,GO Biological Processes,19,GO:0060993,kidney morphogenesis,19_GO:0032502 developmental process,-5.1,77,15,30198,84,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.9
CNet-SVM,GO Biological Processes,19,GO:0071774,response to fibroblast growth factor,19_GO:0050896 response to stimulus,-5.1,77,15,30198,84,14,3,21,11,2002|2246|2253,ELK1|FGF1|FGF8,-3.9
CNet-SVM,KEGG Pathway,24,hsa04012,ErbB signaling pathway,,-5.1,76,15,30198,85,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.9
CNet-SVM,Reactome Gene Sets,6,R-HSA-190236,Signaling by FGFR,,-5.1,74,15,30198,87,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-3.9
CNet-SVM,GO Biological Processes,19,GO:0001823,mesonephros development,19_GO:0032502 developmental process,-5.1,74,15,30198,87,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.9
CNet-SVM,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.1,16,8.6,30198,663,14,5,36,13,2246|2253|3725|3845|54361,FGF1|FGF8|JUN|KRAS|WNT4,-3.9
CNet-SVM,WikiPathways,27,WP673,ErbB signaling pathway,,-5,71,14,30198,91,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.8
CNet-SVM,WikiPathways,27,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,,-5,71,14,30198,91,14,3,21,11,3725|7480|54361,JUN|WNT10B|WNT4,-3.8
CNet-SVM,GO Biological Processes,19,GO:0060562,epithelial tube morphogenesis,19_GO:0032502 developmental process,-5,28,10,30198,307,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-3.8
CNet-SVM,KEGG Pathway,24,hsa04912,GnRH signaling pathway,,-5,70,14,30198,93,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.8
CNet-SVM,GO Biological Processes,19,GO:1901214,regulation of neuron death,19_GO:0050789 regulation of biological process,-5,27,10,30198,314,14,4,29,12,2002|2253|3725|3845,ELK1|FGF8|JUN|KRAS,-3.8
CNet-SVM,Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-4.9,15,8.3,30198,708,14,5,36,13,2920|3845|5179|7480|54361,CXCL2|KRAS|PENK|WNT10B|WNT4,-3.8
CNet-SVM,Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-4.9,27,10,30198,325,14,4,29,12,2246|2253|3725|3845,FGF1|FGF8|JUN|KRAS,-3.8
CNet-SVM,GO Biological Processes,19,GO:0072009,nephron epithelium development,19_GO:0032502 developmental process,-4.9,65,14,30198,99,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.8
CNet-SVM,KEGG Pathway,24,hsa04916,Melanogenesis,,-4.9,64,14,30198,101,14,3,21,11,3845|7480|54361,KRAS|WNT10B|WNT4,-3.7
CNet-SVM,KEGG Pathway,24,hsa04625,C-type lectin receptor signaling pathway,,-4.9,62,13,30198,104,14,3,21,11,1959|3725|3845,EGR2|JUN|KRAS,-3.7
CNet-SVM,WikiPathways,27,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,,-4.9,62,13,30198,104,14,3,21,11,3725|7480|54361,JUN|WNT10B|WNT4,-3.7
CNet-SVM,Canonical Pathways,11,M164,PID ERBB1 DOWNSTREAM PATHWAY,,-4.8,62,13,30198,105,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.7
CNet-SVM,WikiPathways,27,WP4659,Gastrin signaling pathway,,-4.7,57,13,30198,114,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.6
CNet-SVM,Reactome Gene Sets,6,R-HSA-187037,Signaling by NTRK1 (TRKA),,-4.7,56,13,30198,115,14,3,21,11,1959|2002|3845,EGR2|ELK1|KRAS,-3.6
CNet-SVM,WikiPathways,27,WP428,Wnt signaling,,-4.7,55,13,30198,118,14,3,21,11,3725|7480|54361,JUN|WNT10B|WNT4,-3.6
CNet-SVM,Reactome Gene Sets,6,R-HSA-5619507,Activation of HOX genes during differentiation,,-4.7,53,12,30198,121,14,3,21,11,1959|3725|10664,EGR2|JUN|CTCF,-3.5
CNet-SVM,GO Biological Processes,19,GO:0030278,regulation of ossification,19_GO:0032501 multicellular organismal process,-4.7,53,12,30198,121,14,3,21,11,1959|7480|54361,EGR2|WNT10B|WNT4,-3.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,,-4.7,53,12,30198,121,14,3,21,11,1959|3725|10664,EGR2|JUN|CTCF,-3.5
CNet-SVM,GO Biological Processes,19,GO:0001889,liver development,19_GO:0032502 developmental process,-4.6,53,12,30198,122,14,3,21,11,2002|3725|54361,ELK1|JUN|WNT4,-3.5
CNet-SVM,GO Biological Processes,19,GO:0061008,hepaticobiliary system development,19_GO:0032502 developmental process,-4.6,52,12,30198,125,14,3,21,11,2002|3725|54361,ELK1|JUN|WNT4,-3.5
CNet-SVM,GO Biological Processes,19,GO:2000027,regulation of animal organ morphogenesis,19_GO:0032502 developmental process,-4.6,51,12,30198,126,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.5
CNet-SVM,GO Biological Processes,19,GO:0072073,kidney epithelium development,19_GO:0032502 developmental process,-4.6,51,12,30198,128,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.5
CNet-SVM,GO Biological Processes,19,GO:0072006,nephron development,19_GO:0032502 developmental process,-4.6,51,12,30198,128,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-3.5
CNet-SVM,Canonical Pathways,11,M186,PID PDGFRB PATHWAY,,-4.6,50,12,30198,129,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.5
CNet-SVM,GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-4.6,21,8.9,30198,402,14,4,29,12,2002|2253|3725|54361,ELK1|FGF8|JUN|WNT4,-3.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-166520,Signaling by NTRKs,,-4.5,48,12,30198,134,14,3,21,11,1959|2002|3845,EGR2|ELK1|KRAS,-3.4
CNet-SVM,KEGG Pathway,24,hsa04550,Signaling pathways regulating pluripotency of stem cells,,-4.4,45,11,30198,143,14,3,21,11,3845|7480|54361,KRAS|WNT10B|WNT4,-3.3
CNet-SVM,WikiPathways,27,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,,-4.4,45,11,30198,144,14,3,21,11,1959|2002|3725,EGR2|ELK1|JUN,-3.3
CNet-SVM,GO Biological Processes,19,GO:0043524,negative regulation of neuron apoptotic process,19_GO:0048519 negative regulation of biological process,-4.4,45,11,30198,145,14,3,21,11,2253|3725|3845,FGF8|JUN|KRAS,-3.3
CNet-SVM,WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-4.4,43,11,30198,150,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-3.3
CNet-SVM,GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-4.4,19,8.4,30198,447,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-3.3
CNet-SVM,GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-4.4,43,11,30198,151,14,3,21,11,3725|5179|54361,JUN|PENK|WNT4,-3.3
CNet-SVM,KEGG Pathway,24,hsa04921,Oxytocin signaling pathway,,-4.3,42,11,30198,154,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.3
CNet-SVM,KEGG Pathway,24,hsa04150,mTOR signaling pathway,,-4.3,41,11,30198,156,14,3,21,11,3845|7480|54361,KRAS|WNT10B|WNT4,-3.2
CNet-SVM,KEGG Pathway,24,hsa04390,Hippo signaling pathway,,-4.3,41,11,30198,157,14,3,21,11,2246|7480|54361,FGF1|WNT10B|WNT4,-3.2
CNet-SVM,GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-4.3,41,11,30198,158,14,3,21,11,3725|5179|54361,JUN|PENK|WNT4,-3.2
CNet-SVM,Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-4.3,18,8.2,30198,467,14,4,29,12,2920|5179|7480|54361,CXCL2|PENK|WNT10B|WNT4,-3.2
CNet-SVM,WikiPathways,27,WP437,EGF/EGFR signaling pathway,,-4.3,40,11,30198,163,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-3.2
CNet-SVM,WikiPathways,27,WP4239,Epithelial to mesenchymal transition in colorectal cancer,,-4.3,39,11,30198,165,14,3,21,11,3845|7480|54361,KRAS|WNT10B|WNT4,-3.2
CNet-SVM,GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-4.2,18,8,30198,484,14,4,29,12,1959|3845|7480|54361,EGR2|KRAS|WNT10B|WNT4,-3.2
CNet-SVM,KEGG Pathway,24,hsa04310,Wnt signaling pathway,,-4.2,39,11,30198,167,14,3,21,11,3725|7480|54361,JUN|WNT10B|WNT4,-3.2
CNet-SVM,GO Biological Processes,19,GO:0008283,cell population proliferation,19_GO:0009987 cellular process,-4.2,18,8,30198,492,14,4,29,12,2253|5179|7480|54361,FGF8|PENK|WNT10B|WNT4,-3.1
CNet-SVM,GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-4.2,17,7.9,30198,503,14,4,29,12,2002|2920|5179|7480,ELK1|CXCL2|PENK|WNT10B,-3.1
CNet-SVM,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.2,17,7.9,30198,505,14,4,29,12,1959|2246|2253|3725,EGR2|FGF1|FGF8|JUN,-3.1
CNet-SVM,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.1,16,7.7,30198,526,14,4,29,12,1959|2246|2253|3725,EGR2|FGF1|FGF8|JUN,-3
CNet-SVM,KEGG Pathway,24,hsa05167,Kaposi sarcoma-associated herpesvirus infection,,-4,33,9.7,30198,194,14,3,21,11,2920|3725|3845,CXCL2|JUN|KRAS,-3
CNet-SVM,GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-4,15,7.4,30198,557,14,4,29,12,2246|2253|3845|54361,FGF1|FGF8|KRAS|WNT4,-3
CNet-SVM,KEGG Pathway,24,hsa05203,Viral carcinogenesis,,-4,32,9.5,30198,204,14,3,21,11,1959|3725|3845,EGR2|JUN|KRAS,-2.9
CNet-SVM,GO Biological Processes,19,GO:0043523,regulation of neuron apoptotic process,19_GO:0050789 regulation of biological process,-4,31,9.4,30198,207,14,3,21,11,2253|3725|3845,FGF8|JUN|KRAS,-2.9
CNet-SVM,GO Biological Processes,19,GO:1901215,negative regulation of neuron death,19_GO:0048519 negative regulation of biological process,-3.9,31,9.4,30198,209,14,3,21,11,2253|3725|3845,FGF8|JUN|KRAS,-2.9
CNet-SVM,KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-3.9,31,9.3,30198,210,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-2.9
CNet-SVM,KEGG Pathway,24,hsa05207,Chemical carcinogenesis - receptor activation,,-3.9,31,9.3,30198,212,14,3,21,11,2253|3725|3845,FGF8|JUN|KRAS,-2.9
CNet-SVM,GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-3.9,30,9.3,30198,213,14,3,21,11,1959|3845|5179,EGR2|KRAS|PENK,-2.9
CNet-SVM,KEGG Pathway,24,hsa05417,Lipid and atherosclerosis,,-3.9,30,9.2,30198,215,14,3,21,11,2920|3725|3845,CXCL2|JUN|KRAS,-2.9
CNet-SVM,KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-3.9,30,9.2,30198,218,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-2.9
